"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US10990","ZCTA5 10990","125870","18089",
"860Z200US10992","ZCTA5 10992","112353","13938",
"860Z200US10993","ZCTA5 10993","66189","14746",
"860Z200US10994","ZCTA5 10994","170307","53352",
"860Z200US10996","ZCTA5 10996","135333","13122",
"860Z200US10998","ZCTA5 10998","129348","18507",
"860Z200US11001","ZCTA5 11001","150000","14141",
"860Z200US11003","ZCTA5 11003","124115","9636",
"860Z200US11004","ZCTA5 11004","115360","15256",
"860Z200US11005","ZCTA5 11005","89931","39675",
"860Z200US11010","ZCTA5 11010","142321","19459",
"860Z200US11020","ZCTA5 11020","167148","24440",
"860Z200US11021","ZCTA5 11021","120230","16218",
"860Z200US11023","ZCTA5 11023","141003","16376",
"860Z200US11024","ZCTA5 11024","175300","47337",
"860Z200US11030","ZCTA5 11030","234966","29428",
"860Z200US11040","ZCTA5 11040","154696","9186",
"860Z200US11042","ZCTA5 11042","-","**",
"860Z200US11050","ZCTA5 11050","154225","7030",
"860Z200US11096","ZCTA5 11096","93421","13525",
"860Z200US11101","ZCTA5 11101","121062","8902",
"860Z200US11102","ZCTA5 11102","96617","10089",
"860Z200US11103","ZCTA5 11103","93324","6909",
"860Z200US11104","ZCTA5 11104","80709","4757",
"860Z200US11105","ZCTA5 11105","102012","4960",
"860Z200US11106","ZCTA5 11106","84867","6399",
"860Z200US11109","ZCTA5 11109","204885","25090",
"860Z200US11201","ZCTA5 11201","173136","8354",
"860Z200US11203","ZCTA5 11203","67897","5889",
"860Z200US11204","ZCTA5 11204","69479","5994",
"860Z200US11205","ZCTA5 11205","93887","12536",
"860Z200US11206","ZCTA5 11206","61430","4608",
"860Z200US11207","ZCTA5 11207","56523","3773",
"860Z200US11208","ZCTA5 11208","62077","4159",
"860Z200US11209","ZCTA5 11209","93854","3949",
"860Z200US11210","ZCTA5 11210","83692","6476",
"860Z200US11211","ZCTA5 11211","107506","9796",
"860Z200US11212","ZCTA5 11212","41355","3952",
"860Z200US11213","ZCTA5 11213","65127","5801",
"860Z200US11214","ZCTA5 11214","65895","3580",
"860Z200US11215","ZCTA5 11215","185865","9246",
"860Z200US11216","ZCTA5 11216","101277","3920",
"860Z200US11217","ZCTA5 11217","162863","12941",
"860Z200US11218","ZCTA5 11218","97366","7032",
"860Z200US11219","ZCTA5 11219","58347","4474",
"860Z200US11220","ZCTA5 11220","69883","4800",
"860Z200US11221","ZCTA5 11221","85736","5827",
"860Z200US11222","ZCTA5 11222","125734","7243",
"860Z200US11223","ZCTA5 11223","63368","4608",
"860Z200US11224","ZCTA5 11224","43648","3368",
"860Z200US11225","ZCTA5 11225","88568","5580",
"860Z200US11226","ZCTA5 11226","81014","3494",
"860Z200US11228","ZCTA5 11228","83665","7723",
"860Z200US11229","ZCTA5 11229","70603","4890",
"860Z200US11230","ZCTA5 11230","70027","5299",
"860Z200US11231","ZCTA5 11231","139930","13219",
"860Z200US11232","ZCTA5 11232","90891","6151",
"860Z200US11233","ZCTA5 11233","62411","4156",
"860Z200US11234","ZCTA5 11234","97479","3460",
"860Z200US11235","ZCTA5 11235","59661","4262",
"860Z200US11236","ZCTA5 11236","81464","4874",
"860Z200US11237","ZCTA5 11237","85196","5831",
"860Z200US11238","ZCTA5 11238","134523","11270",
"860Z200US11239","ZCTA5 11239","38015","7045",
"860Z200US11249","ZCTA5 11249","123047","10799",
"860Z200US11354","ZCTA5 11354","66010","3123",
"860Z200US11355","ZCTA5 11355","55326","3066",
"860Z200US11356","ZCTA5 11356","86730","13390",
"860Z200US11357","ZCTA5 11357","96988","11283",
"860Z200US11358","ZCTA5 11358","88165","6911",
"860Z200US11359","ZCTA5 11359","-","**",
"860Z200US11360","ZCTA5 11360","98875","10010",
"860Z200US11361","ZCTA5 11361","105932","8729",
"860Z200US11362","ZCTA5 11362","122090","8471",
"860Z200US11363","ZCTA5 11363","125015","29660",
"860Z200US11364","ZCTA5 11364","98359","3320",
"860Z200US11365","ZCTA5 11365","81258","9198",
"860Z200US11366","ZCTA5 11366","135373","13367",
"860Z200US11367","ZCTA5 11367","75061","11133",
"860Z200US11368","ZCTA5 11368","72270","2949",
"860Z200US11369","ZCTA5 11369","80297","6100",
"860Z200US11370","ZCTA5 11370","76009","6874",
"860Z200US11371","ZCTA5 11371","-","**",
"860Z200US11372","ZCTA5 11372","78606","4397",
"860Z200US11373","ZCTA5 11373","71480","3993",
"860Z200US11374","ZCTA5 11374","90631","3891",
"860Z200US11375","ZCTA5 11375","105904","5464",
"860Z200US11377","ZCTA5 11377","73073","5495",
"860Z200US11378","ZCTA5 11378","85830","3957",
"860Z200US11379","ZCTA5 11379","93558","8745",
"860Z200US11385","ZCTA5 11385","88838","4663",
"860Z200US11411","ZCTA5 11411","116458","7102",
"860Z200US11412","ZCTA5 11412","97979","5428",
"860Z200US11413","ZCTA5 11413","118440","7699",
"860Z200US11414","ZCTA5 11414","95051","14428",
"860Z200US11415","ZCTA5 11415","86394","6734",
"860Z200US11416","ZCTA5 11416","81188","10081",
"860Z200US11417","ZCTA5 11417","87006","7873",
"860Z200US11418","ZCTA5 11418","90156","7747",
"860Z200US11419","ZCTA5 11419","93399","7396",
"860Z200US11420","ZCTA5 11420","100006","5819",
"860Z200US11421","ZCTA5 11421","90685","6568",
"860Z200US11422","ZCTA5 11422","114697","8277",
"860Z200US11423","ZCTA5 11423","80054","12576",
"860Z200US11424","ZCTA5 11424","-","**",
"860Z200US11426","ZCTA5 11426","103533","12268",
"860Z200US11427","ZCTA5 11427","88980","10548",
"860Z200US11428","ZCTA5 11428","91296","13942",
"860Z200US11429","ZCTA5 11429","102880","8694",
"860Z200US11430","ZCTA5 11430","-","**",
"860Z200US11432","ZCTA5 11432","74096","6865",
"860Z200US11433","ZCTA5 11433","77519","4579",
"860Z200US11434","ZCTA5 11434","77598","6021",
"860Z200US11435","ZCTA5 11435","79710","4627",
"860Z200US11436","ZCTA5 11436","88047","9180",
"860Z200US11439","ZCTA5 11439","-","**",
"860Z200US11451","ZCTA5 11451","-","**",
"860Z200US11501","ZCTA5 11501","137665","11126",
"860Z200US11507","ZCTA5 11507","164028","28213",
"860Z200US11509","ZCTA5 11509","168537","7567",
"860Z200US11510","ZCTA5 11510","147319","10060",
"860Z200US11514","ZCTA5 11514","151964","53153",
"860Z200US11516","ZCTA5 11516","104331","54488",
"860Z200US11518","ZCTA5 11518","117052","19211",
